                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2254,                 3.2282,                 2.2243,                0.12833,                0.11532,                0.05861,                 0.0201,                 2.4905,                  3.028,                 2.4566,                 0.0702,              0.0033111,              0.0033111
                      1,                 1.9807,                 2.6035,                 1.9513,                0.22836,                0.16489,                 0.1175,                0.03745,                 2.5045,                 2.8477,                 2.4238,               0.039937,              0.0063813,              0.0063813
                      2,                 2.0207,                 2.4926,                 1.9367,                0.26054,                0.17961,                0.12438,                0.03708,                 2.4783,                 2.7572,                 2.3533,              0.0094098,              0.0091875,              0.0091875
                      3,                 2.0653,                 2.5378,                  1.935,                0.20206,                0.17078,                0.09961,                0.02425,                 2.5805,                 3.3038,                 2.4647,               0.008812,               0.008812,               0.008812
                      4,                  2.092,                 2.5231,                 1.9504,                0.22963,                0.20429,                0.11713,                0.03551,                  2.434,                 2.9531,                 2.3221,               0.008812,               0.008812,               0.008812
                      5,                 2.0731,                  2.493,                 1.9443,                0.18525,                0.19449,                0.09907,                0.02886,                 2.5088,                 2.9503,                 2.3579,               0.008416,               0.008416,               0.008416
                      6,                   2.04,                 2.4397,                 1.8965,                0.24154,                0.21048,                0.14093,                 0.0422,                 2.3931,                 2.7603,                 2.2522,                0.00802,                0.00802,                0.00802
                      7,                  2.019,                 2.3976,                 1.8745,                0.31804,                0.16843,                0.14662,                0.04462,                 2.4099,                 3.0282,                 2.1773,               0.007624,               0.007624,               0.007624
                      8,                 1.9591,                 2.3235,                 1.8418,                0.29139,                 0.1973,                0.17106,                0.05394,                 2.3908,                 2.6169,                 2.2747,               0.007228,               0.007228,               0.007228
                      9,                 1.9597,                 2.2814,                 1.8445,                  0.274,                0.24825,                0.16177,                0.04536,                 2.4071,                 2.5869,                 2.2005,               0.006832,               0.006832,               0.006832
                     10,                 1.9127,                 2.2197,                 1.8191,                0.27963,                0.26807,                0.18091,                0.05553,                 2.4501,                 2.6462,                 2.2307,               0.006436,               0.006436,               0.006436
                     11,                 1.8955,                 2.1795,                 1.7886,                0.34044,                0.22904,                0.21525,                0.06234,                 2.3963,                 2.6726,                 2.2691,                0.00604,                0.00604,                0.00604
                     12,                 1.8732,                 2.1416,                 1.7827,                0.28407,                 0.2819,                0.20589,                0.06629,                 2.3768,                 2.4746,                 2.2125,               0.005644,               0.005644,               0.005644
                     13,                  1.859,                 2.0904,                 1.7775,                0.30561,                0.28758,                0.21282,                0.06979,                 2.3912,                 2.5285,                 2.2272,               0.005248,               0.005248,               0.005248
                     14,                 1.7948,                 1.9914,                 1.7367,                0.27553,                0.27967,                0.19502,                0.05751,                 2.4105,                 2.5596,                 2.2608,               0.004852,               0.004852,               0.004852
                     15,                 1.8011,                 1.9688,                 1.7412,                0.32047,                0.31084,                0.22521,                0.07179,                 2.3148,                 2.4905,                  2.172,               0.004456,               0.004456,               0.004456
                     16,                 1.7819,                 1.9306,                 1.7172,                0.29973,                0.25403,                 0.2041,                0.06607,                  2.504,                 2.5624,                 2.3488,                0.00406,                0.00406,                0.00406
                     17,                 1.7406,                 1.8364,                 1.6879,                0.34239,                0.32182,                0.23366,                0.07059,                 2.4329,                 2.4756,                 2.2731,               0.003664,               0.003664,               0.003664
                     18,                 1.7146,                 1.7846,                 1.6726,                0.30736,                0.29181,                0.22797,                0.06307,                  2.488,                 2.5556,                 2.3341,               0.003268,               0.003268,               0.003268
                     19,                 1.6955,                 1.7369,                 1.6616,                0.37257,                0.26952,                0.22597,                0.06667,                 2.4769,                 2.6438,                 2.3601,               0.002872,               0.002872,               0.002872
                     20,                  1.675,                  1.696,                 1.6568,                0.40756,                0.29756,                0.25246,                0.07346,                 2.5845,                 2.5177,                 2.3638,               0.002476,               0.002476,               0.002476
                     21,                 1.6235,                  1.572,                 1.6027,                0.30878,                0.29547,                0.23108,                 0.0651,                 2.5289,                 2.6213,                  2.337,                0.00208,                0.00208,                0.00208
                     22,                 1.6004,                 1.5719,                 1.6089,                0.37155,                 0.2998,                0.22279,                0.07207,                 2.5387,                 2.5309,                  2.351,               0.001684,               0.001684,               0.001684
                     23,                  1.566,                 1.5289,                 1.5805,                0.35993,                0.27765,                0.22581,                0.06637,                 2.5268,                 2.6779,                 2.3709,               0.001288,               0.001288,               0.001288
                     24,                 1.5216,                 1.4354,                 1.5523,                0.38093,                 0.2796,                0.22158,                0.06488,                 2.4681,                 2.5901,                  2.357,               0.000892,               0.000892,               0.000892
