                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2412,                 3.1882,                 2.1892,                0.13815,                0.12025,                0.06678,                 0.0218,                 2.4253,                 3.2409,                 2.4836,                 0.0702,              0.0033111,              0.0033111
                      1,                 1.9955,                 2.5554,                 1.9326,                0.13647,                0.16207,                 0.0711,                   0.02,                 2.6307,                 3.2437,                 2.5989,               0.039937,              0.0063813,              0.0063813
                      2,                 2.0063,                 2.4573,                 1.8939,                0.44451,                 0.1088,                0.06543,                0.01655,                 2.7865,                 3.3964,                 2.5471,              0.0094098,              0.0091875,              0.0091875
                      3,                 2.0299,                 2.4839,                 1.9112,                0.16194,                0.20532,                0.09136,                0.02326,                 2.6418,                 3.2603,                  2.475,               0.008812,               0.008812,               0.008812
                      4,                 2.0671,                 2.4727,                 1.9124,                0.15105,                0.17696,                0.08147,                0.02259,                 2.4882,                 3.1385,                 2.4047,               0.008812,               0.008812,               0.008812
                      5,                 2.0406,                 2.4589,                 1.9111,                 0.2275,                0.20562,                 0.1184,                0.03367,                 2.4311,                 3.0208,                 2.4078,               0.008416,               0.008416,               0.008416
                      6,                 2.0025,                 2.3926,                 1.8683,                0.29951,                0.21775,                0.15433,                0.04895,                 2.3629,                 2.7271,                 2.2114,                0.00802,                0.00802,                0.00802
                      7,                 1.9861,                 2.3397,                 1.8395,                0.29222,                0.22105,                0.16571,                0.05501,                 2.3151,                 2.6636,                 2.1049,               0.007624,               0.007624,               0.007624
                      8,                  1.943,                  2.244,                  1.799,                0.29342,                0.21859,                0.17489,                0.05503,                 2.3975,                  2.593,                 2.2036,               0.007228,               0.007228,               0.007228
                      9,                  1.935,                 2.2101,                 1.7957,                0.28416,                0.27849,                0.20356,                0.06113,                  2.426,                 2.5507,                  2.202,               0.006832,               0.006832,               0.006832
                     10,                 1.8931,                 2.1686,                 1.7851,                0.28125,                0.24514,                0.18456,                0.05934,                 2.4172,                 2.7501,                 2.2105,               0.006436,               0.006436,               0.006436
                     11,                 1.8661,                 2.1217,                 1.7452,                0.34292,                0.24751,                 0.2104,                0.06436,                 2.4105,                 2.6427,                 2.2148,                0.00604,                0.00604,                0.00604
                     12,                 1.8616,                 2.0847,                 1.7496,                0.33117,                0.26298,                0.23596,                0.07016,                 2.4737,                 2.4578,                 2.2309,               0.005644,               0.005644,               0.005644
                     13,                 1.8206,                 2.0169,                 1.7276,                0.34914,                0.27877,                0.21473,                0.06701,                 2.4383,                 2.5158,                 2.2334,               0.005248,               0.005248,               0.005248
                     14,                 1.7858,                 1.9363,                  1.689,                0.31763,                0.26057,                0.22175,                0.06813,                 2.3751,                  2.439,                 2.1779,               0.004852,               0.004852,               0.004852
                     15,                 1.7843,                 1.9165,                 1.6958,                0.33623,                0.25697,                0.22395,                0.07757,                  2.354,                 2.4247,                 2.1944,               0.004456,               0.004456,               0.004456
                     16,                 1.7526,                 1.8657,                 1.6779,                0.37129,                0.30533,                0.24147,                0.07797,                 2.4655,                 2.3734,                 2.2504,                0.00406,                0.00406,                0.00406
                     17,                 1.7161,                 1.7827,                 1.6528,                0.39753,                0.25348,                0.21583,                0.06547,                 2.5027,                 2.4506,                 2.3446,               0.003664,               0.003664,               0.003664
                     18,                 1.6967,                 1.7407,                 1.6395,                0.42603,                0.29027,                0.25651,                0.07528,                 2.5393,                 2.4881,                 2.3011,               0.003268,               0.003268,               0.003268
                     19,                 1.6695,                 1.6764,                 1.6195,                0.30674,                0.32635,                0.22983,                0.06787,                 2.4711,                 2.5145,                 2.2833,               0.002872,               0.002872,               0.002872
                     20,                  1.656,                 1.6549,                 1.6092,                0.44746,                0.26907,                0.25242,                0.07583,                 2.5546,                 2.3884,                 2.3241,               0.002476,               0.002476,               0.002476
                     21,                  1.601,                 1.5411,                 1.5664,                0.39741,                0.29101,                0.23287,                0.06982,                 2.5575,                 2.3589,                 2.3286,                0.00208,                0.00208,                0.00208
                     22,                 1.5711,                 1.5263,                 1.5606,                0.31201,                0.28352,                0.21022,                0.06484,                 2.5031,                 2.4192,                 2.3028,               0.001684,               0.001684,               0.001684
                     23,                 1.5689,                 1.4957,                 1.5483,                0.47838,                   0.26,                0.23723,                0.07378,                 2.5349,                 2.4176,                 2.3033,               0.001288,               0.001288,               0.001288
                     24,                  1.516,                 1.4061,                 1.5168,                0.34777,                0.30671,                0.22944,                0.07006,                 2.5077,                 2.5015,                 2.3122,               0.000892,               0.000892,               0.000892
