                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3018,                 3.2553,                 2.2281,                0.12026,                0.13023,                0.04993,                0.01532,                 2.4881,                 3.1919,                 2.4766,                 0.0702,              0.0033111,              0.0033111
                      1,                 2.0264,                 2.6464,                 1.9683,                0.23053,                0.14777,                 0.1005,                0.03056,                 2.5408,                 3.0204,                 2.3685,               0.039937,              0.0063813,              0.0063813
                      2,                 1.9926,                 2.4988,                 1.8509,                0.15796,                0.18044,                0.08895,                0.02527,                 2.5107,                 2.9419,                 2.1502,              0.0094098,              0.0091875,              0.0091875
                      3,                 2.0494,                 2.4943,                 1.8489,                0.12955,                0.25158,                0.08249,                0.02161,                 2.7062,                 3.2254,                 2.3943,               0.008812,               0.008812,               0.008812
                      4,                  2.072,                 2.4503,                 1.8432,                0.21176,                0.18002,                0.10373,                0.02992,                 2.3074,                 3.1721,                 2.1848,               0.008812,               0.008812,               0.008812
                      5,                 2.0517,                 2.4358,                 1.8281,                0.15689,                 0.1968,                0.08777,                0.02545,                 2.6391,                 3.6158,                 2.4034,               0.008416,               0.008416,               0.008416
                      6,                 2.0063,                 2.3728,                 1.7956,                0.26833,                0.19894,                 0.1714,                 0.0538,                 2.4046,                 2.7215,                 2.1008,                0.00802,                0.00802,                0.00802
                      7,                 2.0004,                 2.3536,                 1.7893,                0.30687,                0.19619,                0.13899,                0.04444,                 2.3171,                 2.8452,                 2.0532,               0.007624,               0.007624,               0.007624
                      8,                 1.9544,                 2.2626,                 1.7543,                0.27801,                0.24671,                0.17027,                0.05406,                 2.3697,                 2.7908,                 2.1496,               0.007228,               0.007228,               0.007228
                      9,                 1.9472,                 2.2365,                 1.7578,                 0.1786,                0.13699,                0.08882,                0.02699,                 2.5627,                 3.3636,                 2.2838,               0.006832,               0.006832,               0.006832
                     10,                 1.9097,                 2.2056,                   1.74,                0.25165,                0.27787,                0.19053,                0.06407,                 2.2618,                 2.6292,                 1.9581,               0.006436,               0.006436,               0.006436
                     11,                 1.8789,                 2.1445,                  1.693,                0.25295,                 0.2524,                0.16181,                0.04734,                 2.4211,                 2.7121,                  2.116,                0.00604,                0.00604,                0.00604
                     12,                 1.8605,                 2.1223,                 1.6918,                0.30922,                0.27395,                0.20846,                0.06628,                 2.3579,                 2.5183,                 2.0641,               0.005644,               0.005644,               0.005644
                     13,                 1.8514,                 2.0581,                 1.6777,                 0.4821,                0.20801,                0.20721,                0.06251,                 2.4319,                 2.5732,                 2.0584,               0.005248,               0.005248,               0.005248
                     14,                 1.8074,                 1.9872,                 1.6541,                0.33163,                0.22452,                0.18105,                0.05661,                 2.3558,                 2.8676,                 2.1235,               0.004852,               0.004852,               0.004852
                     15,                 1.7987,                 1.9747,                 1.6421,                0.31969,                0.28272,                0.22143,                0.07273,                 2.3217,                 2.5057,                 2.0382,               0.004456,               0.004456,               0.004456
                     16,                 1.7823,                 1.9432,                 1.6468,                0.34277,                0.28962,                0.22108,                0.07177,                 2.4293,                 2.5642,                 2.1034,                0.00406,                0.00406,                0.00406
                     17,                 1.7602,                 1.8621,                 1.6244,                0.36083,                0.31619,                0.26525,                0.08189,                 2.3549,                  2.518,                 2.0943,               0.003664,               0.003664,               0.003664
                     18,                  1.735,                 1.8231,                 1.5988,                0.39062,                0.25109,                 0.2275,                0.07483,                 2.3856,                 2.6071,                  2.102,               0.003268,               0.003268,               0.003268
                     19,                 1.7178,                 1.7745,                  1.583,                0.32829,                0.26322,                0.21827,                0.06839,                 2.4044,                 2.6862,                  2.089,               0.002872,               0.002872,               0.002872
                     20,                 1.7018,                 1.7543,                 1.5638,                0.32161,                0.29199,                0.23497,                0.07554,                 2.3259,                 2.6528,                 2.0417,               0.002476,               0.002476,               0.002476
                     21,                 1.6554,                 1.6512,                 1.5292,                0.31514,                0.32004,                0.21338,                0.06616,                 2.3371,                 2.7431,                 2.0718,                0.00208,                0.00208,                0.00208
                     22,                 1.6424,                 1.6358,                 1.5353,                0.37204,                0.28219,                0.23273,                0.07408,                 2.4175,                 2.5272,                  2.093,               0.001684,               0.001684,               0.001684
                     23,                 1.6262,                 1.6145,                 1.5261,                0.37463,                 0.2754,                0.23242,                0.07211,                  2.396,                 2.6815,                  2.104,               0.001288,               0.001288,               0.001288
                     24,                 1.5834,                 1.5461,                 1.4984,                0.35298,                0.29485,                 0.2305,                0.07275,                 2.4044,                 2.6898,                 2.1143,               0.000892,               0.000892,               0.000892
